自创语词汇,IPA音标,TTS友好拼写
kh-,/x/,khuen
gom?,/homä/,goh-mah
zakil,/ðakil/,thah-keel
fozank,/foðank/,foh-thahnk
hö,/xö/,kheu
zekva,/ðekva/,thek-vah
miz,/mið/,meeth
khün,/xyn/,khuen
vlön,/vlön/,vleun
böknol,/böknol/,beuk-nohl
drak,/drak/,drak
sten,/sten/,sten
trä,/træ/,trae
de,/de/,de
ha,/ha/,ha
kra,/kra/,kra
sul,/sul/,sul
agon,/a.gon/,agon
vint,/vint/,vint
mova,/ˈmo.va/,MOH-vah
sol,/sol/,sohl
nol,/nol/,nohl
mova?,/ˈmo.vaʔ/,MOH-vah
mi,/mi/,mee
es,/es/,ess
gigantul,/gi'gan.tul/,gee-GAHN-tool
max poten,/maks 'po.ten/,mahks POH-ten
mekinforjor,/me.kin'for.jor/,meh-keen-FOR-yor
