自创语词汇,IPA音标,TTS友好拼写
abaru,/a.ˈba.ru/,ah-BAH-rroo
akampu,/a.ˈkam.pu/,ah-KAHM-poo
ameritu,/a.me.ˈri.tu/,ah-meh-RREE-too
ana,/ˈa.na/,AH-nah
bakuli,/ba.ˈku.li/,bah-KOO-lee
barabu,/ba.ˈra.bu/,bah-RRAH-boo
bariku,/ba.ˈri.ku/,bah-RREE-koo
bendu,/ˈben.du/,BEHN-doo
betiti,/be.ˈti.ti/,beh-TEE-tee
betitibariku,/be.ti.ti.ba.ˈri.ku/,beh-tee-tee-bah-RREE-koo
betitigrandu,/be.ti.tig.ˈran.du/,beh-tee-teeg-RRAHN-doo
beya,/ˈbe.ja/,BEH-yah
bika,/ˈbi.ka/,BEE-kah
bina,/ˈbi.na/,BEE-nah
binagrandu,/bi.nag.ˈran.du/,bee-nahg-RRAHN-doo
blusa,/ˈblu.sa/,BLOO-sah
bum,/ˈbum/,BOOM
colose,/ko.ˈlo.se/,koh-LOH-seh
da,/ˈda/,DAH
du,/ˈdu/,DOO
duce,/ˈdu.ke/,DOO-keh
dudu-,/du.ˈdu-/,DOO-doo-
dudubendu,/du.du.ˈben.du/,doo-doo-BEHN-doo
dugu,/ˈdu.gu/,DOO-goo
duse,/ˈdu.se/,DOO-seh
eru,/ˈe.ru/,EH-rroo
eruse,/e.ˈru.se/,eh-RROO-seh
fiki,/ˈfi.ki/,FEE-kee
flada,/ˈfla.da/,FLAH-dah
fubalu,/fu.ˈba.lu/,foo-BAH-loo
fula,/ˈfu.la/,FOO-lah
fulalu,/fu.ˈla.lu/,foo-LAH-loo
funiko,/fu.ˈni.ko/,foo-NEE-koh
grandu,/ˈgran.du/,GRRAHN-doo
gu,/ˈgu/,GOO
gubu,/ˈgu.bu/,GOO-boo
guse,/ˈgu.se/,GOO-seh
gusebu,/gu.ˈse.bu/,goo-SEH-boo
guta,/ˈgu.ta/,GOO-tah
ha,/ˈha/,HAH
hagu,/ˈha.gu/,HAH-goo
haha,/ˈha.ha/,HAH-hah
haka,/ˈha.ka/,HAH-kah
hasi,/ˈha.si/,HAH-see
hata,/ˈha.ta/,HAH-tah
hatima,/ha.ˈti.ma/,hah-TEE-mah
hesa,/ˈhe.sa/,HEH-sah
hibu,/ˈhi.bu/,HEE-boo
hoya,/ˈho.ja/,HOH-yah
hu,/ˈhu/,HOO
hua,/ˈhua/,HOOAH
hudo,/ˈhu.do/,HOO-doh
huhu,/ˈhu.hu/,HOO-hoo
huka,/ˈhu.ka/,HOO-kah
huta,/ˈhu.ta/,HOO-tah
huwe,/ˈhu.we/,HOO-weh
ima,/ˈi.ma/,EE-mah
imacia,/i.ˈma.kia/,ee-MAH-keeah
ju,/ˈdʒu/,JOO
ka,/ˈka/,KAH
karibubu,/ka.ri.ˈbu.bu/,kah-rree-BOO-boo
kasasa,/ka.ˈsa.sa/,kah-SAH-sah
kenale,/ke.ˈna.le/,keh-NAH-leh
kibu,/ˈki.bu/,KEE-boo
kimu,/ˈki.mu/,KEE-moo
kina,/ˈki.na/,KEE-nah
kinoru,/ki.ˈno.ru/,kee-NOH-rroo
ko,/ˈko/,KOH
koman,/ˈko.man/,KOH-mahn
komensa,/ko.ˈmen.sa/,koh-MEHN-sah
konono,/ko.ˈno.no/,koh-NOH-noh
kora,/ˈko.ra/,KOH-rrah
kova,/ˈko.va/,KOH-vah
kovagugu,/ko.va.ˈgu.gu/,koh-vah-GOO-goo
ku,/ˈku/,KOO
kuaya,/ˈkua.ja/,KOOAH-yah
kuba,/ˈku.ba/,KOO-bah
kueva,/ˈkue.va/,KOOEH-vah
kukuwa,/ku.ˈku.wa/,koo-KOO-wah
kumta,/ˈkum.ta/,KOOM-tah
kuna,/ˈku.na/,KOO-nah
kuoga,/ˈkuo.ga/,KOOOH-gah
kuwa,/ˈku.wa/,KOO-wah
lahi,/ˈla.hi/,LAH-hee
laya,/ˈla.ja/,LAH-yah
lazima,/la.ˈzi.ma/,lah-ZEE-mah
lulu,/ˈlu.lu/,LOO-loo
malika,/ma.ˈli.ka/,mah-LEE-kah
malili,/ma.ˈli.li/,mah-LEE-lee
malo,/ˈma.lo/,MAH-loh
mamagugu,/ma.ma.ˈgu.gu/,mah-mah-GOO-goo
maman,/ˈma.man/,MAH-mahn
mamangugu,/ma.man.ˈgu.gu/,mah-mahn-GOO-goo
mambo,/ˈmam.bo/,MAHM-boh
mangu,/ˈman.gu/,MAHN-goo
mangubina,/man.gu.ˈbi.na/,mahn-goo-BEE-nah
mansu,/ˈman.su/,MAHN-soo
masada,/ma.ˈsa.da/,mah-SAH-dah
maska,/ˈmas.ka/,MAHS-kah
mia,/ˈmia/,MEEAH
milulu,/mi.ˈlu.lu/,mee-LOO-loo
mistu,/ˈmis.tu/,MEES-too
mistubu,/mis.ˈtu.bu/,mees-TOO-boo
mistuse,/mis.ˈtu.se/,mees-TOO-seh
mistusegrandu,/mis.tu.seg.ˈran.du/,mees-too-sehg-RRAHN-doo
mufa,/ˈmu.fa/,MOO-fah
mutoto,/mu.ˈto.to/,moo-TOH-toh
muziku,/mu.ˈzi.ku/,moo-ZEE-koo
na,/ˈna/,NAH
nala-,/na.ˈla-/,NAH-lah-
nalaku,/na.ˈla.ku/,nah-LAH-koo
nawelu,/na.ˈwe.lu/,nah-WEH-loo
nejaru,/ne.ˈdʒa.ru/,neh-JAH-rroo
nofubaru,/no.fu.ˈba.ru/,noh-foo-BAH-rroo
noho,/ˈno.ho/,NOH-hoh
nono,/ˈno.no/,NOH-noh
nua,/ˈnua/,NOOAH
nubariku,/nu.ba.ˈri.ku/,noo-bah-RREE-koo
nuguse,/nu.ˈgu.se/,noo-GOO-seh
nuru,/ˈnu.ru/,NOO-rroo
nusera,/nu.ˈse.ra/,noo-SEH-rrah
o,/ˈo/,OH
oka,/ˈo.ka/,OH-kah
ombu,/ˈom.bu/,OHM-boo
omburitu,/om.bu.ˈri.tu/,ohm-boo-RREE-too
oso,/ˈo.so/,OH-soh
ota,/ˈo.ta/,OH-tah
pa,/ˈpa/,PAH
pahi,/ˈpa.hi/,PAH-hee
paka,/ˈpa.ka/,PAH-kah
papan,/ˈpa.pan/,PAH-pahn
pela,/ˈpe.la/,PEH-lah
pepo,/ˈpe.po/,PEH-poh
primawa,/pri.ˈma.wa/,prree-MAH-wah
ritucia,/ri.ˈtu.kia/,rree-TOO-keeah
rofa,/ˈro.fa/,RROH-fah
sahi,/ˈsa.hi/,SAH-hee
sak,/ˈsak/,SAHK
saka,/ˈsa.ka/,SAH-kah
samira,/sa.ˈmi.ra/,sah-MEE-rrah
sana,/ˈsa.na/,SAH-nah
sasa,/ˈsa.sa/,SAH-sah
saya,/ˈsa.ja/,SAH-yah
se,/ˈse/,SEH
seka,/ˈse.ka/,SEH-kah
sera,/ˈse.ra/,SEH-rrah
seru,/ˈse.ru/,SEH-rroo
seya,/ˈse.ja/,SEH-yah
sieba,/ˈsie.ba/,SEEEH-bah
sika,/ˈsi.ka/,SEE-kah
silia,/ˈsi.lia/,SEE-leeah
situ,/ˈsi.tu/,SEE-too
soma,/ˈso.ma/,SOH-mah
stilista,/sti.ˈlis.ta/,stee-LEES-tah
suai,/ˈsuai/,SOOAHEE
taku,/ˈta.ku/,TAH-koo
tanu,/ˈta.nu/,TAH-noo
tase,/ˈta.se/,TAH-seh
tela,/ˈte.la/,TEH-lah
telakonono,/te.la.ko.ˈno.no/,teh-lah-koh-NOH-noh
tete,/ˈte.te/,TEH-teh
tika,/ˈti.ka/,TEE-kah
toka,/ˈto.ka/,TOH-kah
toto,/ˈto.to/,TOH-toh
tu,/ˈtu/,TOO
tus,/ˈtus/,TOOS
ufa,/ˈu.fa/,OO-fah
ukusa,/u.ˈku.sa/,oo-KOO-sah
unya,/ˈun.ja/,OON-yah
uso,/ˈu.so/,OO-soh
vanya,/ˈvan.ja/,VAHN-yah
vilku,/ˈvil.ku/,VEEL-koo
wama,/ˈwa.ma/,WAH-mah
woka,/ˈwo.ka/,WOH-kah
yala,/ˈja.la/,YAH-lah
yana,/ˈja.na/,YAH-nah
yara,/ˈja.ra/,YAH-rrah
yaya,/ˈja.ja/,YAH-yah
zabu,/ˈza.bu/,ZAH-boo
zote,/ˈzo.te/,ZOH-teh
